,mean_precision,mean_recall,mean_f1_score,mean_precision_at_5,mean_precision_at_10,mean_r_precision,queries_evaluated
BIR_no_relevance,0.022458857696030978,1.0,0.04380297632602974,0.6866666666666668,0.5833333333333334,0.4589120901329797,30
BIR_with_relevance,0.022458857696030978,1.0,0.04380297632602974,0.20666666666666667,0.16999999999999998,0.12544087968225898,30
BM25,0.022458857696030978,1.0,0.04380297632602974,0.66,0.58,0.49637778969288215,30
ExtendedBIR_no_relevance,0.022458857696030978,1.0,0.04380297632602974,0.6333333333333333,0.61,0.5328864987634353,30
ExtendedBIR_with_relevance,0.022458857696030978,1.0,0.04380297632602974,0.28,0.23333333333333334,0.18472464221602153,30
LM_Dirichlet,0.022458857696030978,1.0,0.04380297632602974,0.4666666666666667,0.42,0.33531459073812897,30
LM_JelinekMercer,0.022458857696030978,1.0,0.04380297632602974,0.48000000000000004,0.43333333333333335,0.3475582890113125,30
LM_Laplace,0.022458857696030978,1.0,0.04380297632602974,0.6666666666666666,0.56,0.44278628718396335,30
LM_MLE,0.022458857696030978,1.0,0.04380297632602974,0.06666666666666667,0.06333333333333334,0.03089256839256839,30
VSM_Cosine,0.022458857696030978,1.0,0.04380297632602974,0.7333333333333333,0.6333333333333333,0.5117477746102184,30
